3260;Width, diameter, or second dimension, yards (variable measure trade item);N4+N6
3261;Width, diameter, or second dimension, yards (variable measure trade item);N4+N6
3262;Width, diameter, or second dimension, yards (variable measure trade item);N4+N6
3263;Width, diameter, or second dimension, yards (variable measure trade item);N4+N6
3264;Width, diameter, or second dimension, yards (variable measure trade item);N4+N6
3265;Width, diameter, or second dimension, yards (variable measure trade item);N4+N6
3270;Depth, thickness, height, or third dimension, inches (variable measure trade item);N4+N6
3271;Depth, thickness, height, or third dimension, inches (variable measure trade item);N4+N6
3272;Depth, thickness, height, or third dimension, inches (variable measure trade item);N4+N6
3273;Depth, thickness, height, or third dimension, inches (variable measure trade item);N4+N6
3274;Depth, thickness, height, or third dimension, inches (variable measure trade item);N4+N6
3275;Depth, thickness, height, or third dimension, inches (variable measure trade item);N4+N6
3280;Depth, thickness, height, or third dimension, feet (variable measure trade item);N4+N6
3281;Depth, thickness, height, or third dimension, feet (variable measure trade item);N4+N6
3282;Depth, thickness, height, or third dimension, feet (variable measure trade item);N4+N6
3283;Depth, thickness, height, or third dimension, feet (variable measure trade item);N4+N6
3284;Depth, thickness, height, or third dimension, feet (variable measure trade item);N4+N6
3285;Depth, thickness, height, or third dimension, feet (variable measure trade item);N4+N6
3290;Depth, thickness, height, or third dimension, yards (variable measure trade item);N4+N6
3291;Depth, thickness, height, or third dimension, yards (variable measure trade item);N4+N6
3292;Depth, thickness, height, or third dimension, yards (variable measure trade item);N4+N6
3293;Depth, thickness, height, or third dimension, yards (variable measure trade item);N4+N6
3294;Depth, thickness, height, or third dimension, yards (variable measure trade item);N4+N6
3295;Depth, thickness, height, or third dimension, yards (variable measure trade item);N4+N6
3300;Logistic weight, kilograms;N4+N6
3301;Logistic weight, kilograms;N4+N6
3302;Logistic weight, kilograms;N4+N6
3303;Logistic weight, kilograms;N4+N6
3304;Logistic weight, kilograms;N4+N6
3305;Logistic weight, kilograms;N4+N6
3310;Length or first dimension, metres;N4+N6
3311;Length or first dimension, metres;N4+N6
3312;Length or first dimension, metres;N4+N6
3313;Length or first dimension, metres;N4+N6
3314;Length or first dimension, metres;N4+N6
3315;Length or first dimension, metres;N4+N6
3320;Width, diameter, or second dimension, metres;N4+N6
3321;Width, diameter, or second dimension, metres;N4+N6
3322;Width, diameter, or second dimension, metres;N4+N6
3323;Width, diameter, or second dimension, metres;N4+N6
3324;Width, diameter, or second dimension, metres;N4+N6
3325;Width, diameter, or second dimension, metres;N4+N6
3330;Depth, thickness, height, or third dimension, metres;N4+N6
3331;Depth, thickness, height, or third dimension, metres;N4+N6
3332;Depth, thickness, height, or third dimension, metres;N4+N6
3333;Depth, thickness, height, or third dimension, metres;N4+N6
3334;Depth, thickness, height, or third dimension, metres;N4+N6
3335;Depth, thickness, height, or third dimension, metres;N4+N6
3340;Area, square metres;N4+N6
3341;Area, square metres;N4+N6
3342;Area, square metres;N4+N6
3343;Area, square metres;N4+N6
3344;Area, square metres;N4+N6
3345;Area, square metres;N4+N6
3350;Logistic volume, litres;N4+N6
3351;Logistic volume, litres;N4+N6
3352;Logistic volume, litres;N4+N6
3353;Logistic volume, litres;N4+N6
3354;Logistic volume, litres;N4+N6
3355;Logistic volume, litres;N4+N6
3360;Logistic volume, cubic metres;N4+N6
3361;Logistic volume, cubic metres;N4+N6
3362;Logistic volume, cubic metres;N4+N6
3363;Logistic volume, cubic metres;N4+N6
3364;Logistic volume, cubic metres;N4+N6
3365;Logistic volume, cubic metres;N4+N6
3370;Kilograms per square metre;N4+N6
3371;Kilograms per square metre;N4+N6
3372;Kilograms per square metre;N4+N6
3373;Kilograms per square metre;N4+N6
3374;Kilograms per square metre;N4+N6
3375;Kilograms per square metre;N4+N6
3400;Logistic weight, pounds;N4+N6
3401;Logistic weight, pounds;N4+N6
3402;Logistic weight, pounds;N4+N6
3403;Logistic weight, pounds;N4+N6
3404;Logistic weight, pounds;N4+N6
3405;Logistic weight, pounds;N4+N6
3410;Length or first dimension, inches;N4+N6
3411;Length or first dimension, inches;N4+N6
3412;Length or first dimension, inches;N4+N6
3413;Length or first dimension, inches;N4+N6
3414;Length or first dimension, inches;N4+N6
3415;Length or first dimension, inches;N4+N6
3420;Length or first dimension, feet;N4+N6
3421;Length or first dimension, feet;N4+N6
3422;Length or first dimension, feet;N4+N6
3423;Length or first dimension, feet;N4+N6
3424;Length or first dimension, feet;N4+N6
3425;Length or first dimension, feet;N4+N6
3430;Length or first dimension, yards;N4+N6
3431;Length or first dimension, yards;N4+N6
3432;Length or first dimension, yards;N4+N6
3433;Length or first dimension, yards;N4+N6
3434;Length or first dimension, yards;N4+N6
3435;Length or first dimension, yards;N4+N6
3440;Width, diameter, or second dimension, inches;N4+N6
3441;Width, diameter, or second dimension, inches;N4+N6
3442;Width, diameter, or second dimension, inches;N4+N6
3443;Width, diameter, or second dimension, inches;N4+N6
3444;Width, diameter, or second dimension, inches;N4+N6
3445;Width, diameter, or second dimension, inches;N4+N6
3450;Width, diameter, or second dimension, feet;N4+N6
3451;Width, diameter, or second dimension, feet;N4+N6
3452;Width, diameter, or second dimension, feet;N4+N6
3453;Width, diameter, or second dimension, feet;N4+N6
3454;Width, diameter, or second dimension, feet;N4+N6
3455;Width, diameter, or second dimension, feet;N4+N6
3460;Width, diameter, or second dimension, yard;N4+N6
3461;Width, diameter, or second dimension, yard;N4+N6
3462;Width, diameter, or second dimension, yard;N4+N6
3463;Width, diameter, or second dimension, yard;N4+N6
3464;Width, diameter, or second dimension, yard;N4+N6
3465;Width, diameter, or second dimension, yard;N4+N6
3470;Depth, thickness, height, or third dimension, inches;N4+N6
3471;Depth, thickness, height, or third dimension, inches;N4+N6
3472;Depth, thickness, height, or third dimension, inches;N4+N6
3473;Depth, thickness, height, or third dimension, inches;N4+N6
3474;Depth, thickness, height, or third dimension, inches;N4+N6
3475;Depth, thickness, height, or third dimension, inches;N4+N6
3480;Depth, thickness, height, or third dimension, feet;N4+N6
3481;Depth, thickness, height, or third dimension, feet;N4+N6
3482;Depth, thickness, height, or third dimension, feet;N4+N6
3483;Depth, thickness, height, or third dimension, feet;N4+N6
3484;Depth, thickness, height, or third dimension, feet;N4+N6
3485;Depth, thickness, height, or third dimension, feet;N4+N6
3490;Depth, thickness, height, or third dimension, yards;N4+N6
3491;Depth, thickness, height, or third dimension, yards;N4+N6
3492;Depth, thickness, height, or third dimension, yards;N4+N6
3493;Depth, thickness, height, or third dimension, yards;N4+N6
3494;Depth, thickness, height, or third dimension, yards;N4+N6
3495;Depth, thickness, height, or third dimension, yards;N4+N6
3500;Area, square inches (variable measure trade item);N4+N6
3501;Area, square inches (variable measure trade item);N4+N6
3502;Area, square inches (variable measure trade item);N4+N6
3503;Area, square inches (variable measure trade item);N4+N6
3504;Area, square inches (variable measure trade item);N4+N6
3505;Area, square inches (variable measure trade item);N4+N6
3510;Area, square feet (variable measure trade item);N4+N6
3511;Area, square feet (variable measure trade item);N4+N6
3512;Area, square feet (variable measure trade item);N4+N6
3513;Area, square feet (variable measure trade item);N4+N6
3514;Area, square feet (variable measure trade item);N4+N6
3515;Area, square feet (variable measure trade item);N4+N6
3520;Area, square yards (variable measure trade item);N4+N6
3521;Area, square yards (variable measure trade item);N4+N6
3522;Area, square yards (variable measure trade item);N4+N6
3523;Area, square yards (variable measure trade item);N4+N6
3524;Area, square yards (variable measure trade item);N4+N6
3525;Area, square yards (variable measure trade item);N4+N6
3530;Area, square inches;N4+N6
3531;Area, square inches;N4+N6
3532;Area, square inches;N4+N6
3533;Area, square inches;N4+N6
3534;Area, square inches;N4+N6
3535;Area, square inches;N4+N6
3540;Area, square feet;N4+N6
3541;Area, square feet;N4+N6
3542;Area, square feet;N4+N6
3543;Area, square feet;N4+N6
3544;Area, square feet;N4+N6
3545;Area, square feet;N4+N6
3550;Area, square yards;N4+N6
3551;Area, square yards;N4+N6
3552;Area, square yards;N4+N6
3553;Area, square yards;N4+N6
3554;Area, square yards;N4+N6
3555;Area, square yards;N4+N6
3560;Net weight, troy ounces (variable measure trade item);N4+N6
3561;Net weight, troy ounces (variable measure trade item);N4+N6
3562;Net weight, troy ounces (variable measure trade item);N4+N6
3563;Net weight, troy ounces (variable measure trade item);N4+N6
3564;Net weight, troy ounces (variable measure trade item);N4+N6
3565;Net weight, troy ounces (variable measure trade item);N4+N6
3570;Net weight (or volume), ounces (variable measure trade item);N4+N6
3571;Net weight (or volume), ounces (variable measure trade item);N4+N6
3572;Net weight (or volume), ounces (variable measure trade item);N4+N6
3573;Net weight (or volume), ounces (variable measure trade item);N4+N6
3574;Net weight (or volume), ounces (variable measure trade item);N4+N6
3575;Net weight (or volume), ounces (variable measure trade item);N4+N6
3600;Net volume, quarts (variable measure trade item);N4+N6
3601;Net volume, quarts (variable measure trade item);N4+N6
3602;Net volume, quarts (variable measure trade item);N4+N6
3603;Net volume, quarts (variable measure trade item);N4+N6
3604;Net volume, quarts (variable measure trade item);N4+N6
3605;Net volume, quarts (variable measure trade item);N4+N6
3610;Net volume, gallons U.S. (variable measure trade item);N4+N6
3611;Net volume, gallons U.S. (variable measure trade item);N4+N6
3612;Net volume, gallons U.S. (variable measure trade item);N4+N6
3613;Net volume, gallons U.S. (variable measure trade item);N4+N6
3614;Net volume, gallons U.S. (variable measure trade item);N4+N6
3615;Net volume, gallons U.S. (variable measure trade item);N4+N6
3620;Logistic volume, quarts;N4+N6
3621;Logistic volume, quarts;N4+N6
3622;Logistic volume, quarts;N4+N6
3623;Logistic volume, quarts;N4+N6
3624;Logistic volume, quarts;N4+N6
3625;Logistic volume, quarts;N4+N6
3630;Logistic volume, gallons U.S.;N4+N6
3631;Logistic volume, gallons U.S.;N4+N6
3632;Logistic volume, gallons U.S.;N4+N6
3633;Logistic volume, gallons U.S.;N4+N6
3634;Logistic volume, gallons U.S.;N4+N6
3635;Logistic volume, gallons U.S.;N4+N6
3640;Net volume, cubic inches (variable measure trade item);N4+N6
3641;Net volume, cubic inches (variable measure trade item);N4+N6
3642;Net volume, cubic inches (variable measure trade item);N4+N6
3643;Net volume, cubic inches (variable measure trade item);N4+N6
3644;Net volume, cubic inches (variable measure trade item);N4+N6
3645;Net volume, cubic inches (variable measure trade item);N4+N6
3650;Net volume, cubic feet (variable measure trade item);N4+N6
3651;Net volume, cubic feet (variable measure trade item);N4+N6
3652;Net volume, cubic feet (variable measure trade item);N4+N6
3653;Net volume, cubic feet (variable measure trade item);N4+N6
3654;Net volume, cubic feet (variable measure trade item);N4+N6
3655;Net volume, cubic feet (variable measure trade item);N4+N6
3660;Net volume, cubic yards (variable measure trade item);N4+N6
3661;Net volume, cubic yards (variable measure trade item);N4+N6
3662;Net volume, cubic yards (variable measure trade item);N4+N6
3663;Net volume, cubic yards (variable measure trade item);N4+N6
3664;Net volume, cubic yards (variable measure trade item);N4+N6
3665;Net volume, cubic yards (variable measure trade item);N4+N6
3670;Logistic volume, cubic inches;N4+N6
3671;Logistic volume, cubic inches;N4+N6
3672;Logistic volume, cubic inches;N4+N6
3673;Logistic volume, cubic inches;N4+N6
3674;Logistic volume, cubic inches;N4+N6
3675;Logistic volume, cubic inches;N4+N6
3680;Logistic volume, cubic feet;N4+N6
3681;Logistic volume, cubic feet;N4+N6
3682;Logistic volume, cubic feet;N4+N6
3683;Logistic volume, cubic feet;N4+N6
3684;Logistic volume, cubic feet;N4+N6
3685;Logistic volume, cubic feet;N4+N6
3690;Logistic volume, cubic yards;N4+N6
3691;Logistic volume, cubic yards;N4+N6
3692;Logistic volume, cubic yards;N4+N6
3693;Logistic volume, cubic yards;N4+N6
3694;Logistic volume, cubic yards;N4+N6
3695;Logistic volume, cubic yards;N4+N6
37;Count of trade items or trade item pieces contained in a logistic unit;N2+N..8
3900;Applicable amount payable or Coupon value, local currency;N4+N..15
3901;Applicable amount payable or Coupon value, local currency;N4+N..15
3902;Applicable amount payable or Coupon value, local currency;N4+N..15
3903;Applicable amount payable or Coupon value, local currency;N4+N..15
3904;Applicable amount payable or Coupon value, local currency;N4+N..15
3905;Applicable amount payable or Coupon value, local currency;N4+N..15
3906;Applicable amount payable or Coupon value, local currency;N4+N..15
3907;Applicable amount payable or Coupon value, local currency;N4+N..15
3908;Applicable amount payable or Coupon value, local currency;N4+N..15
3909;Applicable amount payable or Coupon value, local currency;N4+N..15
3910;Applicable amount payable with ISO currency code;N4+N3+N..15
3911;Applicable amount payable with ISO currency code;N4+N3+N..15
3912;Applicable amount payable with ISO currency code;N4+N3+N..15
3913;Applicable amount payable with ISO currency code;N4+N3+N..15
3914;Applicable amount payable with ISO currency code;N4+N3+N..15
3915;Applicable amount payable with ISO currency code;N4+N3+N..15
3916;Applicable amount payable with ISO currency code;N4+N3+N..15
3917;Applicable amount payable with ISO currency code;N4+N3+N..15
3918;Applicable amount payable with ISO currency code;N4+N3+N..15
3919;Applicable amount payable with ISO currency code;N4+N3+N..15
3920;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3921;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3922;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3923;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3924;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3925;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3926;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3927;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3928;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3929;Applicable amount payable, single monetary area (variable measure trade item);N4+N..15
3930;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3931;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3932;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3933;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3934;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3935;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3936;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3937;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3938;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3939;Applicable amount payable with ISO currency code (variable measure trade item);N4+N3+N..15
3940;Percentage discount of a coupon;N4+N4
3941;Percentage discount of a coupon;N4+N4
3942;Percentage discount of a coupon;N4+N4
3943;Percentage discount of a coupon;N4+N4
3950;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3951;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3952;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3953;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3954;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3955;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3956;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3957;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3958;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
3959;Amount Payable per unit of measure single monetary area (variable measure trade item);N4+N6
400;Customers purchase order number;N3+X..30
401;Global Identification Number for Consignment (GINC);N3+X..30
402;Global Shipment Identification Number (GSIN);N3+N17
403;Routing code;N3+X..30
410;Ship to / Deliver to Global Location Number (GLN);N3+N13
411;Bill to / Invoice to Global Location Number (GLN);N3+N13
412;Purchased from Global Location Number (GLN);N3+N13
413;Ship for / Deliver for - Forward to Global Location Number (GLN);N3+N13
414;Identification of a physical location - Global Location Number (GLN);N3+N13
415;Global Location Number (GLN) of the invoicing party;N3+N13
416;Global Location Number (GLN) of the production or service location;N3+N13
417;Party Global Location Number (GLN);N3+N13
420;Ship to / Deliver to postal code within a single postal authority;N3+X..20
421;Ship to / Deliver to postal code with ISO country code;N3+N3+X..9
422;Country of origin of a trade item;N3+N3
423;Country of initial processing;N3+N3+N..12
424;Country of processing;N3+N3
425;Country of disassembly;N3+N3+N..12
426;Country covering full process chain;N3+N3
427;Country subdivision Of origin;N3+X..3
4300;Ship-to / Deliver-to company name;N4+X..35
4301;Ship-to / Deliver-to contact;N4+X..35
4302;Ship-to / Deliver-to address line 1;N4+X..70
4303;Ship-to / Deliver-to address line 2;N4+X..70
4304;Ship-to / Deliver-to suburb;N4+X..70
4305;Ship-to / Deliver-to locality;N4+X..70
4306;Ship-to / Deliver-to region;N4+X..70
4307;Ship-to / Deliver-to country code;N4+X2
4308;Ship-to / Deliver-to telephone number;N4+X..30
4309;Ship-to / Deliver-to GEO location;N4+N20
4310;Return-to company name;N4+X..35
4311;Return-to contact;N4+X..35
4312;Return-to address line 1;N4+X..70
4313;Return-to address line 2;N4+X..70
4314;Return-to suburb;N4+X..70
4315;Return-to locality;N4+X..70
4316;Return-to region;N4+X..70
4317;Return-to country code;N4+X2
4318;Return-to postal code;N4+X..20
4319;Return-to telephone number;N4+X..30
4320;Service code description;N4+X..35
4321;Dangerous goods flag;N4+N1
4322;Authority to leave;N4+N1
4323;Signature required flag;N4+N1
4324;Not before delivery date time;N4+N10
4325;Not after delivery date time;N4+N10
4326;Release date;N4+N6
7001;NATO Stock Number (NSN);N4+N13
7002;UN/ECE meat carcasses and cuts classification;N4+X..30
7003;Expiration date and time;N4+N10
7004;Active potency;N4+N..4
7005;Catch area;N4+X..12
7006;First freeze date ;N4+N6
7007;Harvest date;N4+N6..12
7008;Species for fishery purposes;N4+X..3
7009;Fishing gear type;N4+X..10
7010;Production method;N4+X..2
7011;Test by date;N4+N6[+N..4]
7020;Refurbishment lot ID;N4+X..20
7021;Functional status;N4+X..20
7022;Revision status;N4+X..20
7023;Global Individual Asset Identifier (GIAI) of an assembly;N4+X..30
7030;Number of processor with ISO Country Code;N4+N3+X..27
7031;Number of processor with ISO Country Code;N4+N3+X..27
7032;Number of processor with ISO Country Code;N4+N3+X..27
7033;Number of processor with ISO Country Code;N4+N3+X..27
7034;Number of processor with ISO Country Code;N4+N3+X..27
7035;Number of processor with ISO Country Code;N4+N3+X..27
7036;Number of processor with ISO Country Code;N4+N3+X..27
7037;Number of processor with ISO Country Code;N4+N3+X..27
7038;Number of processor with ISO Country Code;N4+N3+X..27
7039;Number of processor with ISO Country Code;N4+N3+X..27
7040;GS1 UIC with Extension 1 and Importer index;N4+N1+X3
710;National Healthcare Reimbursement Number (NHRN) - Germany PZN;N3+X..20
711;National Healthcare Reimbursement Number (NHRN) - France CIP;N3+X..20
712;National Healthcare Reimbursement Number (NHRN) - Spain CN;N3+X..20
713;National Healthcare Reimbursement Number (NHRN) - Brasil DRN;N3+X..20
714;National Healthcare Reimbursement Number (NHRN) - Portugal AIM;N3+X..20
715;National Healthcare Reimbursement Number (NHRN) - United States of America NDC;N3+X..20
7230;Certification reference;N4+X2+X..28
7231;Certification reference;N4+X2+X..28
7232;Certification reference;N4+X2+X..28
7233;Certification reference;N4+X2+X..28
7234;Certification reference;N4+X2+X..28
7235;Certification reference;N4+X2+X..28
7236;Certification reference;N4+X2+X..28
7237;Certification reference;N4+X2+X..28
7238;Certification reference;N4+X2+X..28
7239;Certification reference;N4+X2+X..28
7240;Protocol ID;N4+X..20
8001;Roll products (width, length, core diameter, direction, splices);N4+N14
8002;Cellular mobile telephone identifier;N4+X..20
8003;Global Returnable Asset Identifier (GRAI);N4+N14+X..16
8004;Global Individual Asset Identifier (GIAI);N4+X..30
8005;Price per unit of measure;N4+N6
8006;Identification of an individual trade item piece (ITIP);N4+N14+N2+N2
8007;International Bank Account Number (IBAN) ;N4+X..34
8008;Date and time of production;N4+N8[+N..4]
8009;Optically Readable Sensor Indicator;N4+X..50
8010;Component/Part Identifier (CPID);N4+Y..30
8011;Component/Part Identifier serial number (CPID SERIAL);N4+N..12
8012;Software version;N4+X..20
8013;Global Model Number (GMN);N4+X..25
8017;Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the provider of services;N4+N18
8018;Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the recipient of services;N4+N18
8019;Service Relation Instance Number (SRIN);N4+N..10
8020;Payment slip reference number;N4+X..25
8026;Identification of pieces of a trade item (ITIP) contained in a logistic unit;N4+N14+N2+N2
8110;Coupon code identification for use in North America;N4+X..70
8111;Loyalty points of a coupon;N4+N4
8112;Paperless coupon code identification for use in North America;N4+X..70
8200;Extended Packaging URL ;N4+X..70
90;Information mutually agreed between trading partners;N2+X..30
91;Company internal information;N2+X..90
92;Company internal information;N2+X..90
93;Company internal information;N2+X..90
94;Company internal information;N2+X..90
95;Company internal information;N2+X..90
96;Company internal information;N2+X..90
97;Company internal information;N2+X..90
98;Company internal information;N2+X..90
99;Company internal information;N2+X..90
